               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098966,            0.030101,            0.026339,           0.0016513,                 0.5,           0.0046943,           0.0021017,             0.03917,            0.024864,            0.010211,              0.0973,              0.0003,              0.0003
                   1,              0.1007,            0.028971,            0.027863,            0.002067,               0.625,           0.0074998,           0.0029965,            0.037365,            0.022999,            0.010034,            0.093677,           0.0006769,           0.0006769
                   2,            0.096915,            0.030977,            0.024105,           0.0021777,               0.625,            0.033223,           0.0097327,            0.033599,            0.021494,           0.0096558,            0.090027,           0.0010274,           0.0010274
                   3,            0.068351,            0.029563,            0.020641,           0.0021488,               0.625,            0.043066,            0.017085,             0.02921,            0.019957,           0.0091187,            0.086351,           0.0013515,           0.0013515
                   4,            0.091733,            0.030233,            0.027317,            0.002577,                0.75,            0.060409,            0.024846,            0.027675,            0.019148,           0.0087769,            0.082649,           0.0016492,           0.0016492
                   5,            0.087652,            0.030993,            0.026672,           0.0066421,                0.75,             0.10093,            0.042216,            0.025863,            0.018599,           0.0085205,            0.078921,           0.0019205,           0.0019205
                   6,            0.082742,            0.030654,            0.025418,           0.0097955,               0.875,             0.16834,            0.065709,            0.024808,            0.017933,           0.0080322,            0.075165,           0.0021654,           0.0021654
                   7,             0.06512,            0.029803,            0.021264,           0.0080205,                   1,             0.20475,            0.078895,            0.023973,            0.017356,           0.0078613,            0.071384,           0.0023839,           0.0023839
                   8,            0.062739,            0.029587,            0.021276,           0.0078341,                   1,              0.4601,             0.12679,            0.021836,            0.016825,           0.0076721,            0.067576,            0.002576,            0.002576
                   9,            0.073879,            0.030384,            0.023511,            0.031324,                   1,             0.19624,            0.078351,            0.021559,            0.016746,           0.0069519,            0.063742,           0.0027417,           0.0027417
                  10,            0.051136,            0.026609,              0.0158,            0.092335,               0.375,             0.32307,             0.13619,            0.020722,            0.016121,           0.0067078,            0.059881,            0.002881,            0.002881
                  11,            0.054312,            0.028055,            0.018953,             0.25988,               0.375,              0.4027,             0.18576,             0.02139,            0.015676,           0.0066833,            0.055994,           0.0029939,           0.0029939
                  12,            0.046622,            0.025664,            0.014189,              0.1863,               0.375,             0.28598,             0.13827,            0.019935,            0.015636,           0.0069824,             0.05208,           0.0030804,           0.0030804
                  13,            0.054729,            0.027525,            0.024363,             0.19868,               0.375,               0.287,             0.11091,            0.019654,             0.01581,           0.0068176,            0.048141,           0.0031405,           0.0031405
                  14,             0.04833,             0.02489,            0.021879,             0.90008,               0.375,             0.49016,             0.24255,            0.018613,            0.017164,           0.0056671,            0.044174,           0.0031742,           0.0031742
                  15,            0.055497,            0.025937,            0.015536,             0.85723,               0.375,             0.49487,             0.24801,            0.018384,            0.016845,           0.0055725,            0.040182,           0.0031815,           0.0031815
                  16,            0.046815,            0.025254,            0.016203,             0.86312,                0.25,             0.42498,             0.19252,            0.020183,            0.017429,           0.0052887,            0.036162,           0.0031624,           0.0031624
                  17,            0.057893,            0.025715,            0.017137,             0.95865,                0.25,             0.45152,             0.24604,            0.017385,            0.017423,           0.0049286,            0.032117,           0.0031169,           0.0031169
                  18,            0.054077,            0.025474,            0.014329,                   1,              0.3555,             0.50015,             0.22862,              0.0173,            0.016848,           0.0043945,            0.028045,            0.003045,            0.003045
                  19,            0.038122,            0.022132,            0.012007,             0.80889,                 0.5,             0.47655,             0.28756,            0.019833,            0.016888,           0.0042145,            0.023947,           0.0029467,           0.0029467
                  20,            0.060247,            0.022946,            0.021701,             0.95201,               0.375,             0.49414,             0.28776,            0.017628,            0.015531,           0.0048889,            0.019822,            0.002822,            0.002822
                  21,            0.044684,            0.022319,            0.013226,             0.98633,               0.375,             0.55446,             0.23739,            0.015715,            0.013963,           0.0053772,            0.015671,           0.0026709,           0.0026709
                  22,            0.046282,            0.021144,              0.0155,             0.46084,             0.46822,             0.43701,             0.20217,            0.015854,            0.013319,           0.0061646,            0.011493,           0.0024934,           0.0024934
                  23,             0.03308,            0.021036,           0.0095966,             0.30671,              0.4966,             0.28725,             0.18053,            0.016728,            0.012734,            0.006366,           0.0072895,           0.0022895,           0.0022895
                  24,            0.043465,            0.023331,            0.017051,              0.4062,                 0.5,             0.41653,             0.22293,            0.015635,            0.012573,           0.0061676,           0.0030592,           0.0020592,           0.0020592
                  25,            0.050084,            0.023174,            0.015174,              0.4617,             0.46195,             0.47099,             0.29248,            0.014663,              0.0123,           0.0057068,             0.00175,             0.00175,             0.00175
                  26,            0.045364,            0.021643,             0.01245,                   1,             0.35234,             0.53474,             0.33557,            0.014109,             0.01214,           0.0054626,             0.00175,             0.00175,             0.00175
                  27,            0.033939,             0.02235,           0.0096462,                   1,             0.36472,             0.53943,             0.31277,            0.014602,            0.011687,           0.0055023,             0.00142,             0.00142,             0.00142
                  28,            0.035736,            0.020732,            0.011034,                   1,             0.35777,             0.56464,             0.35117,            0.012916,            0.011787,           0.0055603,             0.00109,             0.00109,             0.00109
                  29,             0.04706,            0.020855,            0.016697,             0.42161,             0.71833,             0.61659,             0.35059,            0.013186,            0.011318,           0.0050659,             0.00076,             0.00076,             0.00076
